ID	COMPOUND_ID	SPECIES_TEXT	SPECIES_ACCESSION	COMPONENT_TEXT	COMPONENT_ACCESSION	STRAIN_TEXT	STRAIN_ACCESSION	SOURCE_TYPE	SOURCE_ACCESSION	COMMENTS
11973	88859	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
11974	88859	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
11975	88860	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
11978	88861	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
11979	88862	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
11980	88863	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
11981	88863	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	17314143	null
11982	88864	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
11983	88864	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
11987	88865	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	21970810	null
11988	88865	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
11989	88866	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
11991	88867	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
11996	88868	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	19167006	null
11997	88869	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
11998	88869	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12000	88870	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
12007	88871	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12008	88871	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12009	88872	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12010	88872	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
