peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Subject,184,214,289,317,320,327,348,353,373,387,408,461,528,739
M230T174_POS,230.18587143639917,230.18577411834485,230.18640577670732,174.13003540039062,173.71221923828125,176.0021514892578,12,12,NA,NA,1010153.1503242181,1625928.9037278234,3541805.573051696,2476824.974094558,443814.5471662705,623558.0322511721,2494356.9796210956,881732.9018829336,1092729.375411985,473161.5053852352,826985.9361093761,466927.0253833016
M230T510_POS,230.21090939649133,230.21075307158424,230.2112893241669,509.93157958984375,509.0021667480469,510.231689453125,12,12,NA,NA,601564.982105466,587419.5569454756,557226.5450607198,552338.3351513642,491558.5424431828,483474.81366663636,401105.3213317084,452187.93173307466,479660.66803608387,186318.06485058586,557815.258661248,448095.9251983422
M230T465_POS,230.20188212996226,230.2015888965906,230.20229424908922,464.98033142089844,464.29962158203125,465.715,10,10,NA,NA,268783.15017361223,583423.7438201323,134824.53554687407,292409.3398529423,235151.66224999938,166286.524112413,79785.77339999947,NA,119831.51700795146,NA,258502.54416903356,250275.76596562305
M230T388_POS,230.2474038850668,230.24719642212838,230.24779066860597,387.5545196533203,386.3286437988281,394.10333251953125,14,14,449100.0009843748,406745.7555470005,18185418.209901042,19304000.382789996,18109204.68298993,18153828.365682997,19455626.880710226,18819604.390104096,17657081.502697416,19114399.4190524,18139166.06916364,11928616.940744175,19736170.821086194,18604546.48179007
M230T453_POS,230.24732621026968,230.24721667719166,230.24777149765606,453.2818908691406,449.4934997558594,455.1355895996094,13,13,2331043.5894304086,4130977.312493767,10574184.84180775,4753771.579165315,NA,8090847.613418817,2997023.051535387,2082592.8093962315,6327389.655280098,1932401.4329027783,2494410.193178868,15691786.940875405,5598676.540891524,3414487.618365877
M231T824_POS,231.03829638146286,231.0378504986438,231.04739857643844,824.4733581542969,820.15802001953125,832.86993408203125,8,8,294304.54079552944,412276.424263392,NA,1079848.8125599953,165576.7070369916,626740.4276035207,NA,NA,NA,1324529.014944205,1178584.1247383675,NA,1444755.7442084763,NA
M231T411_POS,231.0962624594398,231.0961387901771,231.09675289243577,410.9275207519531,406.8635559082031,412.466,9,9,970073.4010735427,1696405.3602725605,323917.52670088154,3261760.6701855515,NA,NA,1225473.4002514018,NA,2910913.147090778,NA,308694.3339785155,NA,2510058.7057949184,980212.7894647865
M231T142_POS,231.112425250329,231.11221159997893,231.11279940739018,141.70388793945312,140.78321838378906,143.28184509277344,10,10,NA,NA,NA,572205.0370095484,NA,609820.1838648428,410879.53470337664,841603.5930543178,911706.5142302033,730539.6632274493,1563034.114310506,923394.0169065006,2379595.5358792306,620865.6902830873
M231T487_POS,231.11247845400686,231.1122956615643,231.1126989101567,486.8677215576172,485.2560119628906,488.7178955078125,8,8,NA,NA,NA,NA,72435.6562453126,334226.60554404213,353847.8718112373,134859.63734375034,127918.62333710975,625616.1967384703,103645.13258281242,NA,NA,105653.70225703075
M231T316_POS,231.14094966834205,231.1407381246657,231.14133674989645,315.9943542480469,314.9540710449219,323.7641296386719,14,14,351844.8213327515,426920.6378646574,582603.9860214893,247744.27510044747,1072019.974769727,266872.97587611375,860761.8007366098,250452.27085937533,497880.4421791118,258964.50557638909,1042857.1786818202,271025.03329987923,630998.5327324186,338609.05959821533
M231T497_1_POS,231.13493113789067,231.13473441506187,231.13736497787795,496.8429870605469,494.8348388671875,497.4703674316406,11,11,NA,NA,511460.86061718676,1174601.768517934,945457.648811132,1438558.880592592,1281901.8166140309,NA,1258197.4669729103,1169298.8400891102,1042524.087985839,1454163.638258569,1009414.8512508636,2004142.6565151312
M231T302_POS,231.1450838254127,231.14459999027187,231.14524722504822,302.4373321533203,301.0356750488281,303.8609619140625,10,10,NA,NA,1411792.701576927,1739719.7012140194,1021152.50838687,1160993.7490737855,1224944.798367962,1054796.763566405,1361387.0056280037,1431463.8392061107,1192119.8861790546,1850617.8184040138,NA,NA
M231T484_POS,231.1379832043883,231.1374471278086,231.1589421907889,484.0614929199219,475.3821716308594,484.9644470214844,19,13,NA,2611279.255836099,1602248.4418770995,3794757.72242846,3949140.9711426347,1068517.5219881267,2744828.4759930065,1756599.5449709322,698599.9705677102,2326745.7823295416,4160603.3972222176,717393.3577666027,649525.2971666704,2238412.7969590886
M231T369_POS,231.15856818516914,231.1583688302328,231.1589123121978,369.47882080078125,367.6752014160156,372.019775390625,14,14,455711.1311298832,3733301.413518109,1672797.0936532267,2420194.2114659515,9455905.977785857,1742735.8698024328,2285545.59300293,1743096.0974880108,2119970.35881161,1563123.7855931472,1497294.0157910145,1805913.0698584856,3364483.4675480705,1590467.00646946
M231T573_POS,231.15863952880952,231.1584975067261,231.15907856886852,572.78179931640625,570.3050537109375,573.8602294921875,13,13,NA,248271.53290940018,1666508.2769331227,1483888.9801864189,1247556.8806493056,1382880.8633746915,1452533.832413985,1330282.0941683988,1132034.0122265602,1001957.6413333439,1257919.7352060492,700197.6948492195,907108.0369466178,840043.5661216377
M231T623_POS,231.15856175942668,231.15847986894144,231.1590017792815,622.67919921875,622.0406494140625,623.898193359375,9,9,NA,NA,794610.0132927023,1039745.3703092941,962573.9739196395,809273.8598999982,NA,715013.681309212,NA,538322.4837749045,594987.6682265623,295179.1804678303,NA,537911.4989642507
M231T497_2_POS,231.15855033208578,231.15841946144286,231.1588979201072,497.468875,496.3821105957031,498.40399169921875,12,12,NA,NA,2059203.5515104216,2380450.4459427046,1819726.5598609603,1610473.9539666334,1352305.2685041719,1823859.7732274737,1242231.3955050793,941985.586137887,1438105.2181491405,796860.6674587738,1579632.6723235575,1107179.8659174761
M231T230_POS,231.16980862509615,231.16972565075073,231.1702677484574,229.50492205810548,228.88050842285156,237.89927673339844,12,12,NA,131629.05987740392,5333324.046044039,5921470.85635105,6217088.819820236,6265805.977611519,3898398.1251527686,5026309.705994898,5335159.287355425,4863416.517533202,5683050.700354173,4699402.18987135,NA,1700763.863398439
M231T53_POS,231.16983446211518,231.1696198588945,231.17048687488233,52.552001953125,37.393062591552734,54.790924072265625,12,11,NA,346115.5674913613,NA,468386.331141264,380515.6086698943,462127.07592507097,312599.40521484386,260163.15336117765,311097.93550828105,NA,496317.24699538416,211075.74689012294,3296369.918140734,340071.77718880255
M231T827_POS,231.16764006430242,231.1674552551621,231.1679870826788,826.8944091796875,825.86700439453125,828.30792236328125,10,10,NA,NA,7359904.461808021,4027884.0155572593,3763267.2150872173,2518201.358873788,1730402.2319366178,1826485.2175554365,1337342.104670093,1431666.2178345467,2135925.5586291277,NA,562385.2896414085,NA
M231T567_POS,231.1738031222046,231.17363139682132,231.17439535227103,567.383544921875,566.77978515625,568.8565673828125,12,12,739258.7265928274,NA,2557833.604001765,2088417.7222469545,1999809.628058886,2945157.6422797414,1879987.9364700161,2115340.343902872,2169128.830833539,1082355.180969529,1867489.292424762,2000921.5282939519,1430466.7625980333,NA
M231T387_POS,231.25071660837745,231.25051512752944,231.25111886082772,387.26243591308594,386.6387939453125,390.0552673339844,12,12,NA,NA,2489288.9443836245,2352054.154599168,2555367.2547601177,2496426.636854355,2454197.888455904,2279084.1503243726,2669119.857058146,2736227.909121526,2479867.348780023,1458503.6021531154,2201310.5594821894,2463203.071441415
M231T454_POS,231.25075648173674,231.25057385867694,231.25118087925478,453.5942077636719,449.8062438964844,455.44842529296875,11,11,154393.00141819817,524062.8967031221,1461165.5173812432,564533.241987421,122846.71524553609,856874.5416078467,NA,137373.7168293594,720468.1728375863,127946.9462890629,NA,1981078.5457942197,539923.6693753573,NA
M232T944_POS,231.98637359769145,231.98623461441906,231.99729487041074,943.51470947265625,933.55706787109375,951.61474609375,19,12,11787955.5584,NA,29163211.50929992,20626877.89140498,24162391.773907322,20099846.047031324,19566095.686772764,NA,22013754.62343757,15643303.144844798,20705591.30924267,10749224.44987996,15085580.226929672,11713797.86212497
